sample-id	developmental-stage	plant-species	plant-id	relative-position-s	lineage	date-frozen	date-pupated	date-eclosed	sex	notes
w3mp_Asi76	adult	incarnata	JI18		IJ8-RB7	NA	06-26-2023	07-04-2023		
w3mp_Asc77	adult	curassavica	JC2		IJ8-RB7	NA	06-26-2023	07-04-2023		
w3mp_Asi78	adult	incarnata	JI1		KLb5-TI10	NA	06-25-2023	07-04-2023		
w3mp_Asi79	adult	incarnata	JI19		IJ8-RB7	07-04-2023	06-25-2023	07-04-2023		
w3mp_Asi80	adult	incarnata	JI18		IJ8-RB7	07-04-2023	06-26-2023	07-04-2023		
w3mp_Asi81	adult	incarnata	JI6		KLb5-TI10	07-04-2023	06-24-2023	07-04-2023		
w3mp_Asc82	adult	curassavica	JC27		IJ8-RB7	07-04-2023	06-26-2023	07-04-2023		
w3mp_Asc83	adult	curassavica	JC18		IJ8-RB7	07-04-2023	06-26-2023	07-04-2023		
w3mp_Lsc84	late-pupa	curassavica	JC7		KLb5-TI10	07-04-2023	06-26-2023	NA	NA	
w3mp_Lsc85	late-pupa	curassavica	JC18		IJ8-RB7	07-04-2023	06-26-2023	NA	NA	
w3mp_Lsc86	late-pupa	curassavica	JC5		IJ8-RB7	07-04-2023	06-26-2023	NA	NA	
w3mp_Lsi87	late-pupa	incarnata	JI22		IJ8-RB7	07-04-2023	06-26-2023	NA	NA	
w3mp_Lsi88	late-pupa	incarnata	JI13		IJ8-RB7	07-04-2023	06-26-2023	NA	NA	
w3mp_Lsi89	late-pupa	incarnata	JI21		KLb5-TI10	07-04-2023		NA	NA	
w3mp_Lsi90	late-pupa	incarnata	JI23		IJ8-RB7	07-04-2023		NA	NA	
w3mp_Lsc91	late-pupa	curassavica	JC11		IJ8-RB7	07-04-2023		NA	NA	
w3mp_Asc92	adult	curassavica	JC3		IJ8-RB7	07-05-2023		07-05-2023		
w3mp_Asc93	adult	curassavica	JC7		KLb5-TI10	07-05-2023		07-05-2023		
w3mp_Asc94	adult	curassavica	JC18		IJ8-RB7	NA		07-05-2023		
w3mp_Asi95	adult	incarnata	JI22		IJ8-RB7	NA		07-05-2023		
w3mp_Lsc96	late-pupa	curassavica	JC16		IJ8-RB7	07-05-2023		NA	NA	
w3mp_Lsc97	late-pupa	curassavica	JC13		IJ8-RB7	07-05-2023		NA	NA	
w3mp_Asi98	adult	incarnata	JI8		IJ8-RB7	07-06-2023		07-06-2023		
w3mp_Asc99	adult	curassavica	JC13		IJ8-RB7	07-06-2023		07-06-2023		
w3mp_Asc100	adult	curassavica	JC16		IJ8-RB7	07-06-2023		07-06-2023		
w3mp_Asc101	adult	curassavica	JC26		IJ8-RB7	07-06-2023		07-06-2023		
w3mp_Asi102	adult	incarnata	JI12		IJ8-RB7	NA		07-07-2023		
w3mp_Asi103	adult	incarnata	JI24		IJ8-RB7	NA		07-07-2023		
w3mp_Asc104	adult	curassavica	JC13					07-07-2023		
w3mp_Asc105	adult	curassavica	JC25					07-03-2023		
w3mp_Asi106	adult	incarnata	JI27					07-08-2023		
w3mp_Asc107	adult	curassavica	JC24					07-08-2023		
w3mp_Asc108	adult	curassavica	JC25					07-08-2023		
w3mp_Asi109	adult	incarnata	JI3					07-09-2023		
